accountname,message,description,imageText,message_translation,description_translation,imageText_translation,link
Bajrangi Dal,Ek MAA Ki Awaz. #BajrangDalKol #Bajrangi,,,EkMA Ki Awaz. #Bjranjealalal #Bjgigi,But what about you?,But what about you?,https://www.facebook.com/BajrangDalKolkata/videos/495489219170214/
True Nationalist,"अनिल कपूर गुंजी बच्चे की किलकारियां बन गए नाना,सोनम कपूर ने दिया बच्चे को जन्म चारो तरफ से मिल रही है बधाइयां।",बॉलीवुड के मशहूर अभिनेता अनिल कपूर एक ऐसे अभिनेता हैं जो हमेशा ही चर्चा में बने रहते हैं वही अनिल कपूर आज किसी पहचा....,,She has become the smiths of an Ail Kammerhanzim; she has joined the child with her mother round about.,Bhuywood's famous actor Anifr Kail Katur is an actor who is always in the discussion that is still in the discussion today....,But what about you?,https://appearnews.com/anil-kapoor-has-become-the-childs-voice-nana-sonam-kapoor-has-given-birth-to-the-child-congratulations-are-being-received-from-all-sides/
Pushpendra Kulshrestha Fans Club,"अनिल कपूर गुंजी बच्चे की किलकारियां बन गए नाना,सोनम कपूर ने दिया बच्चे को जन्म चारो तरफ से मिल रही है बधाइयां।",बॉलीवुड के मशहूर अभिनेता अनिल कपूर एक ऐसे अभिनेता हैं जो हमेशा ही चर्चा में बने रहते हैं वही अनिल कपूर आज किसी पहचा....,,She has become the smiths of an Ail Kammerhanzim; she has joined the child with her mother round about.,Bhuywood's famous actor Anifr Kail Katur is an actor who is always in the discussion that is still in the discussion today....,But what about you?,https://appearnews.com/anil-kapoor-has-become-the-childs-voice-nana-sonam-kapoor-has-given-birth-to-the-child-congratulations-are-being-received-from-all-sides/
True Nationalist,पट्रोल-डीजल को लेकर आई खुशखबरी मिल रहा है मात्र 79.74 रु लीटर में जाने अपने शहर का भाव।,पेट्रोलियम कंपनियों ने रोज की तरह आज सुबह 6 बजे पेट्रोल-डीजल के नए रेट जारी किए हैं और पिछले कई सोमवारों की तरह इस सो....,,It's receiving the good news with patl-Derl. 79.74 to go to your city's town.,Greenmium companies have moved on this morning at 6: 00 p.m. and that's what happened last several Mondays.,But what about you?,https://appearnews.com/there-is-good-news-about-petrol-diesel-knowing-the-price-of-your-city-for-just-rs-79-74-a-liter/
Pushpendra Kulshrestha Fans Club,पट्रोल-डीजल को लेकर आई खुशखबरी मिल रहा है मात्र 79.74 रु लीटर में जाने अपने शहर का भाव।,पेट्रोलियम कंपनियों ने रोज की तरह आज सुबह 6 बजे पेट्रोल-डीजल के नए रेट जारी किए हैं और पिछले कई सोमवारों की तरह इस सो....,,It's receiving the good news with patl-Derl. 79.74 to go to your city's town.,Greenmium companies have moved on this morning at 6: 00 p.m. and that's what happened last several Mondays.,But what about you?,https://appearnews.com/there-is-good-news-about-petrol-diesel-knowing-the-price-of-your-city-for-just-rs-79-74-a-liter/
True Nationalist,,,"लीना, महुआ, स्वरा जैसी औरतों को देखकर आश्र्य मत करो इतिहास गवाह है.... हर औरत देवी नही होती, बल्कि कुछ पूतना, ताड़का और सूर्पनखा भी होती है..!",But what about you?,But what about you?,"Don't be surprised to see such women as Luna, Meaa, Anani. It's history....",https://www.facebook.com/TrueNationalistOfficial/photos/a.623714011398446/1441244839645355/?type=3
Pushpendra Kulshrestha Fans Club,,,"लीना, महुआ, स्वरा जैसी औरतों को देखकर आश्र्य मत करो इतिहास गवाह है.... हर औरत देवी नही होती, बल्कि कुछ पूतना, ताड़का और सूर्पनखा भी होती है..!",But what about you?,But what about you?,"Don't be surprised to see such women as Luna, Meaa, Anani. It's history....",https://www.facebook.com/Pushpendrarss/photos/a.317900789148647/1117378212534230/?type=3
We support hindutva,केवल 500 रु में आलिया भट्ट अपने पिता महेश भट्ट के साथ करती थी ये काम ,बॉलीवुड इंडस्ट्री की अभिनेत्रियां हमेशा ही अपनी निजी जिंदगी के खुलासे करती ही रहती है और कुछ ऐसे भी खुलासे हो जाते...,,Only 500 towers used to do these things with their father's ash.,Bhudiwood's skills are always open and others are open to their personal life...,But what about you?,https://appearnews.com/alia-bhatt-used-to-do-this-work-with-her-father-mahesh-bhatt-for-just-rs-500/
True Nationalist,"JOKES: पति पत्नी बार में बैठे हुए थे ,तभी अचानक पति को टॉयलेट जाना पड़ा.. तभी एक औरत उसकी बीवी के पास आकर बोली",Jokes in Hindi: जैसा की आप लोगों को मालूम होगा कि डॉक्टर हमेशा लोगों को सलाह देते हैं कि हंसना सेहत के लिए बेहद ही जाना अनिवार...,,"JOKES: The husband was sitting in the bar, the husband had to go to the toilet suddenly.",Jeokes in Hoindi: As you know people always give advice to people to laugh that it's too high to go to sleep...,But what about you?,https://appearnews.com/jokes-in-hindi/
Mission Hindu Ekta,,,"देखरहे हो ना पार्थ कैसेमेरेसेसब मेरे से सब जन्म ले कर, मेरेमेंही में ही समा रहे है!! @Sanatan_meme_Sangathan",But what about you?,But what about you?,"I can't see how I have all been born from me, it's all coming within me!",https://www.facebook.com/Missionhinduekta/photos/a.207302343383588/1168754237238389/?type=3
Pushpendra Kulshrestha Fans Club,"JOKES: पति पत्नी बार में बैठे हुए थे ,तभी अचानक पति को टॉयलेट जाना पड़ा.. तभी एक औरत उसकी बीवी के पास आकर बोली",Jokes in Hindi: जैसा की आप लोगों को मालूम होगा कि डॉक्टर हमेशा लोगों को सलाह देते हैं कि हंसना सेहत के लिए बेहद ही जाना अनिवार...,,"JOKES: The husband was sitting in the bar, the husband had to go to the toilet suddenly.",Jeokes in Hoindi: As you know people always give advice to people to laugh that it's too high to go to sleep...,But what about you?,https://appearnews.com/jokes-in-hindi/
Dr. Sambit Patra FanClub,"प्रोफेट मोहम्मद की कोई फोटो नहीं है, फिर भी भारत का विज़नरी मु$लमान कार्टून देखकर पहचान लेता है की फोटो किसकी है - Pushpendra Kulshrestha",,,"Profetsu has no photos, yet whom does the photo of India receive by looking at the $alman cartoons? - Pushplanda Kulgart",But what about you?,But what about you?,https://www.facebook.com/SambitPatraFanClub/videos/786888749156987/
True Nationalist,केवल 500 रु में आलिया भट्ट अपने पिता महेश भट्ट के साथ करती थी ये काम,बॉलीवुड इंडस्ट्री की अभिनेत्रियां हमेशा ही अपनी निजी जिंदगी के खुलासे करती ही रहती है और कुछ ऐसे भी खुलासे हो जाते...,,Only 500 towers used to do these things with their father's ash.,Bhudiwood's skills are always open and others are open to their personal life...,But what about you?,https://appearnews.com/alia-bhatt-used-to-do-this-work-with-her-father-mahesh-bhatt-for-just-rs-500/
Pushpendra Kulshrestha Fans Club,केवल 500 रु में आलिया भट्ट अपने पिता महेश भट्ट के साथ करती थी ये काम,बॉलीवुड इंडस्ट्री की अभिनेत्रियां हमेशा ही अपनी निजी जिंदगी के खुलासे करती ही रहती है और कुछ ऐसे भी खुलासे हो जाते...,,Only 500 towers used to do these things with their father's ash.,Bhudiwood's skills are always open and others are open to their personal life...,But what about you?,https://appearnews.com/alia-bhatt-used-to-do-this-work-with-her-father-mahesh-bhatt-for-just-rs-500/
Pushpendra Kulshrestha,"*वर्षो बाद हिन्दुओ को उनकी हत्या और अपमान का कारण बताया ग़या...* प्र. महमूद गजनवी ने सोमनाथ का मंदिर क्यों तोड़ा ? उ. वह नुपुर शर्मा के बयान से नाराज था। प्र. बख्तियार खिलजी ने नालंदा विश्व विद्यालय को क्यों जलाया था ? उ. उसे नुपुर शर्मा की बात से गुस्सा आ गया था। प्र. अलाउद्दीन खिलजी ने चित्तौड़ पर हमला क्यों किया था ? उ. वह नुपुर शर्मा को सबक सिखाना चाहता था। प्र. बाबर ने अयोध्या में राम मंदिर को क्यों तोड़ा था ? उ. नुपुर शर्मा की बातों से उसका दिल टूट गया था। प्र. औरंगजेब ने काशी और मथुरा के मंदिर क्यों तोड़े थे ? उ. वह नुपुर शर्मा की गुस्ताखी का बदला लेना चाहता था। प्र. अब्दाली ने भारत पर हमला क्यों किया था ? उ. नुपुर शर्मा ने उसकी भावनाओं को आहत किया था। प्र. सोमनाथ मंदिर क्यों लूटा गया? उ. नूपुर शर्मा के बयानों की वजह से। प्र. श्री काशी विश्वनाथ जी का मंदिर तोड़कर ज्ञानवापी मस्जिद क्यों बनाई गई? उ. नूपुर शर्मा ने शिव मंदिर के पक्ष में बयान दे दिया था। प्र. जिन्ना ने अलग पाकिस्तान का निर्माण क्यों कराया था ? उ. वो ऐसे देश में नही रहना चाहता था जहां नुपुर शर्मा रहती हो प्र. कश्मीर में कश्मीरी पंडितों को क्यों मारा भगाया गया ? उ. क्योंकि नुपुर शर्मा भी पंडित थी ? प्र. कसाब ने मुंबई के ताज होटल पर हमला क्यों किया था ? उ. उसे खबर मिली थी कि नुपुर शर्मा वहां ठहरी हुई हैं प्र. कमलेश तिवारी को क्यों मारा गया था? उ. क्योंकि कमलेश तिवारी ने नूपुर शर्मा से फोन पर बात की थी। प्र. चंदन गुप्ता को जेहादियों ने क्यों मारा? उ. क्योंकि चंदन गुप्ता ने नूपुर शर्मा को फेसबुक पर फ्रेंड रिक्वेस्ट भेजी थी। प्र. अंकित की हत्या क्यों हुई? उ. क्योंकि अंकित की एक नूपुर नाम की लड़की दोस्त थी। _ और भी न जाने कितनी हत्या लिखो शर्मा की वजह से हो चुकी है, _ न जाने कितने मंदिर नूपुर शर्मा की वजह से टूट चुके हैं । _ पूरे विश्व में जी इस्लामिक आतंकी आए दिन जो बम धमाके करते हैं, निर्दोष लोगों की जान लेते हैं, मासूमों पर गोलियां बरसाते हैं, लोगों का गला काटते हैं सामूहिक नरसंहार करते हैं.... *य़ह सब भी नुपुर शर्मा की वजह से हो रहा है* .... #Noopursharma",,,"* After years of killing and humiliation, being told of their murder and humiliation... (Applause.) And why did the Mothani break the temple of Mannath?",But what about you?,But what about you?,https://www.facebook.com/photo.php?fbid=585199006319079&set=a.534669204705393&type=3
Hanumansingh rajpurohit sirana,,"यह राष्ट्रवादी सोंग भवानी सिंह राजपुरोहित ने अपने मुखारविंद से ओजस्वी वाणी से प्रस्तुत किया और प्रसारित किया
लेकिन राजस्थान की तोतले सरकार ने भवानी सिंह को गिरफ्तार करके जेल के हवालात में डाल दिया है मित्रों
अभी एक राष्ट्रवादी कलाकार का हम मनोबल गिरने नहीं देंगे
अब हिंदू कलाकार अपनी कलम की धार से राष्ट्रवादी सॉन्ग भी प्रस्तुत नहीं कर सकता है 
कितना दुर्भाग्य है राजस्थान वीरों की भूमि है उस पर ऐसे मुसलमान तुष्टीकरण की राजनीति हरगिज बर्दाश्त नहीं की जाएगी",,But what about you?,This nationalism has been presented with the hypothetical bureaucracy of the Soviet Union and spread it with its hypnotical speech but the state government has arrested the white lion and put him in jail.,But what about you?,https://www.facebook.com/hanumansingh.siarana.bjp/videos/1951812838343581/
Amit Shah Fans Team,"जब TV की भाईजान एकता कपूर को हाई थाई शिल्ट ड्रेस की वजह से सबके सामने होना पड़ा उप्स मोमेंट का शिकार, देखें वीडियो….",टीवी जगत की सबसे बड़ी निर्माता एकता कपूर पिछले ही महीने 47 साल की हो चुकी है और ऐसे में 47 साल की एकता कपूर कई फिल्मों क.....,,"When TV's brother Katur's unity consisted of a video, he had to stand in front of the crowd because of high-Tr.","The biggest manufacturer of the TV world has been 47 years old, with 47 - year - old films..............",But what about you?,https://appearnews.com/when-tvs-bhaijaan-ekta-kapoor-had-to-be-a-victim-of-an-oops-moment-in-front-of-everyone-because-of-the-high-thai-shirt-dress-watch-the-video/
We support hindutva,"जब TV की भाईजान एकता कपूर को हाई थाई शिल्ट ड्रेस की वजह से सबके सामने होना पड़ा उप्स मोमेंट का शिकार, देखें वीडियो…. ",टीवी जगत की सबसे बड़ी निर्माता एकता कपूर पिछले ही महीने 47 साल की हो चुकी है और ऐसे में 47 साल की एकता कपूर कई फिल्मों क.....,,"When TV's brother Katur's unity consisted of a video, he had to stand in front of the crowd because of high-Tr.","The biggest manufacturer of the TV world has been 47 years old, with 47 - year - old films..............",But what about you?,https://appearnews.com/when-tvs-bhaijaan-ekta-kapoor-had-to-be-a-victim-of-an-oops-moment-in-front-of-everyone-because-of-the-high-thai-shirt-dress-watch-the-video/
Amit Shah Fans Team,छोटे बू.ब्स के कारण प्रियंका चोपड़ा को नही मिलता था फिल्मो में काम डायरेक्टर बोलता था…,बॉलीवुड इंडस्ट्री की जानी-मानी अभिनेत्री प्रियंका चोपड़ा जिन्होंने बॉलीवुड के बाद हॉलीवुड में भी एक अच्छा खासा म...,,The little boobs didn't get to the old Bangin because he spoke to the director of the filmers...,"Bhudi-in-lawed Bangon Bangon Bangon, who has also been a good seamist in Afghanistan since Bhudiwood's childhood...",But what about you?,https://appearnews.com/priyanka-chopra-did-not-get-to-work-in-films-because-of-the-small-boo-the-director-used-to-speak/
True Nationalist,"बच्चन परिवार पर टूटा दुखो का पहाड़ परिवार का ये सदस्य दुनिया छोड़कर चला गया,पूरा बच्चन परिवार गम में डूबा",बॉलीवुड अभिनेता अभिषेक बच्चन हाल ही में अपनी पत्नी और बेटी आराध्या के साथ कान्स फिल्म फेस्टिवल 2022 में शामिल होने क.....,,Bonan's family left the world in distress,"Bhumiwood actor Anna Annan recently joined her wife and daughter Akan film in 2022,..............................................................",But what about you?,https://khabarbharattak.com/the-mountain-of-sorrows-broken-on-the-bachchan-family-this-family-member-left-the-world/
Pushpendra Kulshrestha Fans Club,"बच्चन परिवार पर टूटा दुखो का पहाड़ परिवार का ये सदस्य दुनिया छोड़कर चला गया,पूरा बच्चन परिवार गम में डूबा",बॉलीवुड अभिनेता अभिषेक बच्चन हाल ही में अपनी पत्नी और बेटी आराध्या के साथ कान्स फिल्म फेस्टिवल 2022 में शामिल होने क.....,,Bonan's family left the world in distress,"Bhumiwood actor Anna Annan recently joined her wife and daughter Akan film in 2022,..............................................................",But what about you?,https://khabarbharattak.com/the-mountain-of-sorrows-broken-on-the-bachchan-family-this-family-member-left-the-world/
Amit Shah Fans Team,,,अजमेर ख़ादिम के हिंसक बयान की वजह से पूरी अजमेर की अर्थव्यवस्था चरमरा गयी है लात जब पेट पे पड़ेगी तो अपने आप होश ठिकाने आयेगी|,But what about you?,But what about you?,"Because of the violent description of Azarmer, the projector's economy has deteriorated when the stomach is filled, it's going to improve its senses.",https://www.facebook.com/AmitShahFansTeamLive/photos/a.926601194179646/2132676806905406/?type=3
We support hindutva,,,अजमेर ख़ादिम के हिंसक बयान की वजह से पूरी अजमेर की अर्थव्यवस्था चरमरा गयी है लात जब पेट पे पड़ेगी तो अपने आप होश ठिकाने आयेगी|,But what about you?,But what about you?,"Because of the violent description of Azarmer, the projector's economy has deteriorated when the stomach is filled, it's going to improve its senses.",https://www.facebook.com/photo.php?fbid=576679897361384&set=a.524399242589450&type=3
Kapil Mishra,With Bhai @beingarun28 हर परिस्थिति में एक साथ United We Stand,,,With Bhai@betingun28 in every circumstance united by St. St.,But what about you?,But what about you?,https://www.facebook.com/photo.php?fbid=586594769504508&set=a.485664942930825&type=3
Rashtriya Bajrang Dal,,"HHL-हिंदू हेल्पलाइन(डो प्रवीणभाई तोगड़िया द्वारा) 11 वर्षोंसे-लाखों लोगोको मदद -हिंदू रत्न एवार्ड-24 घंटा Call center(020 66803300)-मदद करने- 20,000 स्थानोपर हिंदूसाथी -Hindu Helpline mobile App 
हिंदूओका विश्वसनीय मित्र-HHL #HinduHelpLine",,But what about you?,11 years of help by the HHLL-HUGECUGECHOGECHOGECHOGECHOMOMOGHOOMOMOMOMOGECHOOMOMOMOGHOMOMOGECHOOGHOGHOGHHOVAGECHO,But what about you?,https://www.facebook.com/photo.php?fbid=407741514719850&set=a.355915766569092&type=3
